datetime,NASA,NOAA,MET,CandW,BE
1911-06-30,13.762108333333325,13.731630833333327,13.769102777777775,,13.678166666666668
1912-06-29,13.757108333333326,13.685797499999994,13.714852777777777,,13.661166666666666
1913-06-30,13.836274999999992,13.794130833333325,13.82068611111111,,13.730333333333332
1914-06-30,13.852108333333325,13.809130833333327,13.83418611111111,,13.772
1915-06-30,14.04127499999999,13.990797499999994,14.014936111111112,,13.942416666666665
1916-06-29,14.054608333333325,14.034130833333327,14.115436111111109,,14.005333333333333
1917-06-30,13.837941666666659,13.80746416666666,13.874019444444444,,13.762166666666666
1918-06-30,13.73544166666666,13.731630833333325,13.789269444444445,,13.649416666666665
1919-06-30,13.900441666666659,13.824964166666662,13.925352777777775,,13.807416666666668
1920-06-29,13.92044166666666,13.879130833333326,13.985186111111107,,13.892083333333334
1921-06-30,13.919608333333327,13.901630833333323,14.01051944444444,,13.908833333333334
1922-06-30,14.004608333333328,13.97246416666666,14.069019444444443,,13.978916666666665
1923-06-30,13.911274999999991,13.889130833333326,13.956269444444445,,13.886416666666667
1924-06-29,13.932108333333327,13.881630833333327,13.981019444444442,,13.907083333333333
1925-06-30,13.925441666666662,13.890797499999996,13.962769444444442,,13.914333333333337
1926-06-30,13.973774999999991,13.952464166666658,14.041019444444444,,13.95575
1927-06-30,14.087108333333326,14.05413083333333,14.149352777777777,,14.100916666666665
1928-06-29,13.977941666666657,13.956630833333326,14.047769444444446,,13.985416666666666
1929-06-30,13.993774999999992,13.949130833333328,14.050519444444442,,14.007166666666665
1930-06-30,13.834608333333327,13.80246416666666,13.906852777777777,,13.813833333333333
1931-06-30,14.037941666666656,14.017464166666661,14.12043611111111,,14.043083333333334
1932-06-29,14.103774999999992,14.069130833333327,14.169769444444446,,14.1015
1933-06-30,14.038774999999992,14.004130833333328,14.12026944444444,,14.066333333333333
1934-06-30,13.912941666666661,13.87246416666666,13.984186111111113,,13.875749999999998
1935-06-30,14.067941666666657,14.021630833333326,14.127019444444443,,14.016333333333334
1936-06-29,13.992941666666658,13.973297499999994,14.08010277777778,,13.974666666666664
1937-06-30,14.044608333333327,14.01246416666666,14.111602777777776,,14.02775
1938-06-30,14.168774999999991,14.121630833333327,14.232436111111111,,14.197833333333334
1939-06-30,14.191274999999992,14.111630833333324,14.25243611111111,,14.204666666666666
1940-06-29,14.177108333333324,14.139130833333326,14.207352777777778,,14.174083333333334
1941-06-30,14.323774999999992,14.288297499999992,14.27368611111111,,14.269749999999997
1942-06-30,14.382941666666659,14.400797499999994,14.280602777777778,,14.2485
1943-06-30,14.26377499999999,14.23746416666666,14.233769444444443,,14.207333333333333
1944-06-29,14.28294166666666,14.234130833333326,14.254936111111112,,14.248083333333332
1945-06-30,14.397108333333327,14.407464166666662,14.404186111111114,,14.340833333333334
1946-06-30,14.285441666666658,14.307464166666662,14.284936111111113,,14.202666666666666
1947-06-30,14.121274999999992,14.11913083333333,14.188186111111108,,14.134916666666669
1948-06-29,14.167108333333324,14.09579749999999,14.219769444444443,,14.236916666666666
1949-06-30,14.087108333333326,14.07746416666666,14.219852777777776,,14.122833333333332
1950-06-30,14.082941666666661,14.05996416666666,14.182936111111111,,14.094583333333334
1951-06-30,14.019608333333323,13.978297499999995,14.082602777777778,,14.024749999999997
1952-06-29,14.12627499999999,14.134130833333328,14.206019444444445,,14.197333333333333
1953-06-30,14.207108333333325,14.179130833333325,14.289352777777777,,14.265999999999998
1954-06-30,14.276274999999991,14.263297499999995,14.356436111111114,,14.326416666666667
1955-06-30,14.063774999999993,14.034130833333323,14.12943611111111,,14.1335
1956-06-29,14.055441666666658,14.00496416666666,14.069936111111113,,14.08475
1957-06-30,14.007941666666659,13.950797499999995,13.993936111111111,,14.0165
1958-06-30,14.244608333333323,14.205797499999994,14.252102777777779,,14.249333333333333
1959-06-30,14.261274999999992,14.258297499999992,14.306186111111108,,14.258750000000001
1960-06-29,14.229608333333323,14.214130833333328,14.277019444444441,,14.233333333333333
1961-06-30,14.174608333333325,14.183297499999993,14.211102777777775,,14.186
1962-06-30,14.257108333333326,14.227464166666659,14.299352777777775,,14.270416666666668
1963-06-30,14.233774999999993,14.241630833333327,14.275019444444444,,14.22225
1964-06-29,14.25044166666666,14.252464166666662,14.308519444444443,,14.263416666666666
1965-06-30,13.995441666666657,13.990797499999992,14.038019444444442,,13.993
1966-06-30,14.08877499999999,14.06329749999999,14.118936111111111,,14.093583333333333
